URI;arkId;fingerprint_prefLabel@fr;Opentheso_ID;Opentheso_prefLabel@fr;Opentheso_prefLabel@en;Koha_Archires_ID;Koha_Archires_prefLabel@fr;Koha_Archires_prefLabel@en;Koha_Brise-es_2024_ID;Koha_Brise-es_2024_prefLabel@fr;Koha_Brise-es_2024_prefLabel@en;Alexandrie_IPRAUS_2024_ID;Alexandrie_IPRAUS_2024_prefLabel@fr;Alexandrie_IPRAUS_2024_prefLabel@en
https://n2t.net/ark:/99152/r5nq37mt-j;99152/r5nq37mt-j;masse plan;67717/T990-1573;Plan masse;Ground plan;60210;Plan masse;Ground plan;377005;PLAN MASSE;;4135;Plan masse;
https://n2t.net/ark:/99152/r5gqvhg6-2;99152/r5gqvhg6-2;antibruit mur;67717/T990-1383;Mur antibruit;Noise barrier wall;60563;Mur antibruit;Noise barrier wall;376850;MUR ANTI-BRUIT;;6745;Mur antibruit;
https://n2t.net/ark:/99152/r5026rg0-4;99152/r5026rg0-4;ergonomie;67717/T990-849;Ergonomie;Ergonomics;59528;Ergonomie;Ergonomics;376338;ERGONOMIE;;6025;Ergonomie;
https://n2t.net/ark:/99152/r5wbdxct-b;99152/r5wbdxct-b;lamellecolle;67717/T990-1193;Lamellé-collé;Glued laminated;61044;Lamellé-collé;Glued laminated;376694;LAMELLE-COLLE;;6817;Lamellé-collé;
https://n2t.net/ark:/99152/r5039r16-j;99152/r5039r16-j;voisinage;67717/T990-2097;Voisinage;Neighbourly relations;60681;Voisinage;Neighbourly relations;;;;5137;Voisinage;
https://n2t.net/ark:/99152/r5fh3jqw-x;99152/r5fh3jqw-x;centre veterinaire;67717/T990-469;Centre vétérinaire;Veterinary center;60041;Centre vétérinaire;Veterinary center;376023;CENTRE VETERINAIRE;;5889;Centre vétérinaire;
https://n2t.net/ark:/99152/r5lf32gq-5;99152/r5lf32gq-5;autoroute;67717/T990-279;Autoroute;Motorway;59598;Autoroute;Motorway;375864;AUTOROUTE;;5280;Autoroute;
https://n2t.net/ark:/99152/r580vsd6-8;99152/r580vsd6-8;symbole;67717/T990-1916;Symbole;Symbol;59440;Symbole;Symbol;377263;SYMBOLE;;3648;Symbole;
https://n2t.net/ark:/99152/r5c75g33-9;99152/r5c75g33-9;construction de detail;67717/T990-691;Détail de construction;Construction detail;59615;Détail de construction;Construction detail;;;;6188;Détail de construction;
https://n2t.net/ark:/99152/r51j4pjn-z;99152/r51j4pjn-z;pieton;67717/T990-1536;Piéton;Pedestrian;60103;Piéton;Pedestrian;376969;PIETON;;3750;Piéton;
https://n2t.net/ark:/99152/r5n6md48-t;99152/r5n6md48-t;chinois jardin;67717/T990-1156;Jardin chinois;Chinese garden;60402;Jardin chinois;Chinese garden;416754;Jardin chinois;;5083;Jardin chinois;
https://n2t.net/ark:/99152/r5cxgglc-p;99152/r5cxgglc-p;dactivites zone;67717/T990-2110;Zone d'activités;Activity zone;60917;Zone d'activités;Activity zone;;;;4776;Zone d'activités;
https://n2t.net/ark:/99152/r5bx39gj-7;99152/r5bx39gj-7;mixte structure;67717/T990-1898;Structure mixte;Mixed structure;60598;Structure mixte;Mixed structure;377250;STRUCTURE MIXTE;;7529;Structure mixte;
https://n2t.net/ark:/99152/r5x7v9w1-w;99152/r5x7v9w1-w;rapide voie;67717/T990-2092;Voie rapide;Expressway;60143;Voie rapide;Expressway;376434;VOIE RAPIDE;;4658;Voie rapide;
https://n2t.net/ark:/99152/r5qp0b0b-g;99152/r5qp0b0b-g;centre medical;67717/T990-464;Centre médical;Medical center;59938;Centre médical;Medical center;376017;CENTRE MEDICAL;;5875;Centre médical;
https://n2t.net/ark:/99152/r5q2j0rv-h;99152/r5q2j0rv-h;des itineraires methode;67717/T990-1309;Méthode des itinéraires;Itineries method;303234;Méthode des itinéraires;Itineries method;;;;6954;Méthode des itinéraires;
https://n2t.net/ark:/99152/r52k2sbc-g;99152/r52k2sbc-g;autoconstruction;67717/T990-274;Autoconstruction;Self-building;59198;Autoconstruction;Self-building;375861;AUTOCONSTRUCTION;;3427;Autoconstruction;
https://n2t.net/ark:/99152/r5qqw989-7;99152/r5qqw989-7;initiation;67717/T990-1119;Initiation;Initiation;59561;Initiation;Initiation;376652;INITIATION;;6717;Initiation;
https://n2t.net/ark:/99152/r5p68m4f-p;99152/r5p68m4f-p;supermarche;67717/T990-1911;Supermarché;Supermarket;60232;Supermarché;Supermarket;377260;SUPERMARCHE;;3962;Supermarché;
https://n2t.net/ark:/99152/r5k8m4b3-s;99152/r5k8m4b3-s;eauarchitecture rapport;67717/T990-1721;Rapport eau-architecture;Architecture and water relation;60527;Rapport eau-architecture;Architecture and water relation;377364;RAPPORT EAU-ARCHITECTURE;;7360;Rapport eau-architecture;
https://n2t.net/ark:/99152/r5qw91cs-6;99152/r5qw91cs-6;photographie;67717/T990-1531;Photographie;Photography;59146;Photographie;Photography;376963;PHOTOGRAPHIE;;4334;Photographie;
https://n2t.net/ark:/99152/r577f32b-q;99152/r577f32b-q;mobilite;67717/T990-1341;Mobilité;Mobility;61008;Mobilité;Mobility;377388;MOBILITE;;3707;Mobilité;
https://n2t.net/ark:/99152/r5prn91s-d;99152/r5prn91s-d;a francaise jardin la;67717/T990-1151;Jardin à la française;Garden à la française;60961;Jardin à la française;Garden à la française;376670;JARDIN A LA FRANCAISE;;6760;Jardin à la francaise;
https://n2t.net/ark:/99152/r5crq7tc-d;99152/r5crq7tc-d;corporation;67717/T990-617;Corporation;Guild;60490;Corporation;Guild;376135;CORPORATION;;6110;Corporation;
https://n2t.net/ark:/99152/r51ds8kh-4;99152/r51ds8kh-4;art oceanien;67717/T990-237;Art océanien;Oceanian art;60288;Art océanien;Oceanian art;375837;ART OCEANIEN;;5556;Art océanien;
https://n2t.net/ark:/99152/r540s343-6;99152/r540s343-6;action culturelle;67717/T990-28;Action culturelle;Cultural action;59852;Action culturelle;Cultural action;375682;ACTION CULTURELLE;;4299;Action culturelle;
https://n2t.net/ark:/99152/r5jcppfc-j;99152/r5jcppfc-j;gare;67717/T990-979;Gare;Station;60748;Gare;Station;;;;3612;Gare;
https://n2t.net/ark:/99152/r5hxxn80-5;99152/r5hxxn80-5;de effet serre;67717/T990-789;Effet de serre;Greenhouse effect;61167;Effet de serre;Greenhouse effect;;;;4204;Effet de serre;
https://n2t.net/ark:/99152/r51h00t4-0;99152/r51h00t4-0;menuiserie plastique;67717/T990-1304;Menuiserie plastique;Plastic joinery;60340;Menuiserie plastique;Plastic joinery;376795;MENUISERIE PLASTIQUE;;6940;Menuiserie plastique;
https://n2t.net/ark:/99152/r560rv62-c;99152/r560rv62-c;appliquee informatique;67717/T990-1114;Informatique appliquée;Applied computer sciences;59879;Informatique appliquée;Applied computer sciences;376647;INFORMATIQUE APPLIQUEE;;4108;Informatique appliquée;
https://n2t.net/ark:/99152/r51bllrq-x;99152/r51bllrq-x;triplex;67717/T990-2018;Triplex;Three-floor apartment;60390;Triplex;Three-floor apartment;;;;7657;Triplex;
https://n2t.net/ark:/99152/r54rqhfr-m;99152/r54rqhfr-m;socialisme utopique;67717/T990-1856;Socialisme utopique;Utopian socialism;61085;Socialisme utopique;Utopian socialism;377213;SOCIALISME UTOPIQUE;;3908;Socialisme utopique;
https://n2t.net/ark:/99152/r5c0x875-d;99152/r5c0x875-d;batiment du profession;67717/T990-1666;Profession du bâtiment;Building profession;60590;Profession du bâtiment;Building profession;377073;PROFESSION DU BATIMENT;;6001;Profession du bâtiment;
https://n2t.net/ark:/99152/r5kc9wn0-4;99152/r5kc9wn0-4;construction de la pathologie;67717/T990-1476;Pathologie de la construction;Building's pathology;59363;Pathologie de la construction;Building's pathology;376924;PATHOLOGIE DE LA CONSTRUCTION;;5321;Pathologie de la construction;
https://n2t.net/ark:/99152/r5stl8td-3;99152/r5stl8td-3;chantier de materiel;67717/T990-1286;Matériel de chantier;Construction equipment;60382;Matériel de chantier;Construction equipment;376779;MATERIEL DE CHANTIER;;6932;Matériel de chantier;
https://n2t.net/ark:/99152/r569dtdl-b;99152/r569dtdl-b;de image marque;67717/T990-1096;Image de marque;Brand image;59401;Image de marque;Brand image;376631;IMAGE DE MARQUE;;6365;Image de marque;
https://n2t.net/ark:/99152/r5g89pjc-k;99152/r5g89pjc-k;encyclopedie;67717/T990-802;Encyclopédie;Encyclopedia;60327;Encyclopédie;Encyclopedia;;;;6328;Encyclopédie;
https://n2t.net/ark:/99152/r5vlpmc9-4;99152/r5vlpmc9-4;cooperation;67717/T990-612;Coopération;Cooperation;61076;Coopération;Cooperation;376130;COOPERATION;;4034;Coopération;
https://n2t.net/ark:/99152/r5s9v9dq-0;99152/r5s9v9dq-0;aerien vehicule;67717/T990-2050;Véhicule aérien;Aerial vehicle;59871;Véhicule aérien;Aerial vehicle;376469;VEHICULE AERIEN;;5626;Véhicule aérien;
https://n2t.net/ark:/99152/r53wk2dk-8;99152/r53wk2dk-8;carrelage;67717/T990-422;Carrelage;Tiles;59849;Carrelage;Tiles;375982;CARRELAGE;;5818;Carrelage;
https://n2t.net/ark:/99152/r5m9bthx-n;99152/r5m9bthx-n;art naif;67717/T990-232;Art naïf;Naive art;60461;Art naïf;Naive art;375835;ART NAIF;;5549;Art naïf;
https://n2t.net/ark:/99152/r5fxp8r4-3;99152/r5fxp8r4-3;dart galerie;67717/T990-974;Galerie d'art;Art gallery;60125;Galerie d'art;Art gallery;376527;GALERIE D'ART;;3238;Galerie d'art;
https://n2t.net/ark:/99152/r5sr7k25-m;99152/r5sr7k25-m;sante;67717/T990-1819;Santé;Health;59846;Santé;Health;376403;SANTE;;4068;Santé;
https://n2t.net/ark:/99152/r5cwq25g-8;99152/r5cwq25g-8;dartiste ecrit;67717/T990-784;Écrit d'artiste;Artist's writing;60986;Écrit d'artiste;Artist's writing;376275;ECRIT D'ARTISTE;;5173;Ecrit d'artiste;
https://n2t.net/ark:/99152/r58kbgpn-r;99152/r58kbgpn-r;fluvial port;67717/T990-1629;Port fluvial;River port;59588;Port fluvial;River port;377046;PORT FLUVIAL;;4607;Port fluvial;
https://n2t.net/ark:/99152/r57r53k4-9;99152/r57r53k4-9;ouvrier;67717/T990-1439;Ouvrier;Worker;60198;Ouvrier;Worker;376893;OUVRIER;;7096;Ouvrier;
https://n2t.net/ark:/99152/r5g5j90j-s;99152/r5g5j90j-s;forte maison;67717/T990-1249;Maison forte;Stronghold house;60751;Maison forte;Stronghold house;376748;MAISON FORTE;;3083;Maison forte;
https://n2t.net/ark:/99152/r5kgrvr7-h;99152/r5kgrvr7-h;de histoire lurbanisme;67717/T990-1059;Histoire de l'urbanisme;History of urban planning;59171;Histoire de l'urbanisme;History of urban planning;376605;HISTOIRE DE L'URBANISME;;3508;Histoire de l'urbanisme;
https://n2t.net/ark:/99152/r5q2wn0g-1;99152/r5q2wn0g-1;transport urbain;67717/T990-2013;Transport urbain;Urban transport;60781;Transport urbain;Urban transport;377342;TRANSPORT URBAIN;;4558;Transport urbain;
https://n2t.net/ark:/99152/r5rlp970-7;99152/r5rlp970-7;partenariat prive public;67717/T990-1471;Partenariat public privé;Public-private partnership;60564;Partenariat public privé;Public-private partnership;;;;7139;Partenariat public privé;
https://n2t.net/ark:/99152/r50bp73h-6;99152/r50bp73h-6;finances publiques;67717/T990-937;Finances publiques;Public finances;59980;Finances publiques;Public finances;376500;FINANCES PUBLIQUES;;4508;Finances publiques;
https://n2t.net/ark:/99152/r5t10406-m;99152/r5t10406-m;de materiau recuperation;67717/T990-1281;Matériau de récupération;Material recovery;60115;Matériau de récupération;Material recovery;376775;MATERIAU DE RECUPERATION;;3431;Matériau de récupération;
https://n2t.net/ark:/99152/r5qlc80f-h;99152/r5qlc80f-h;echangeur;67717/T990-747;Échangeur;Exchanger;59437;Échangeur;Exchanger;376241;ECHANGEUR;;5622;Echangeur;
https://n2t.net/ark:/99152/r5977f4x-g;99152/r5977f4x-g;de fraicheur ilot;67717/T990-1091;Îlot de fraîcheur;Freshness island;303257;Îlot de fraîcheur;Freshness island;;;;6691;Îlot de fraîcheur;
https://n2t.net/ark:/99152/r5v27td9-t;99152/r5v27td9-t;bibliographie;67717/T990-367;Bibliographie;Bibliography;59372;Bibliographie;Bibliography;375938;BIBLIOGRAPHIE;;3456;Bibliographie;
https://n2t.net/ark:/99152/r5cppwbd-j;99152/r5cppwbd-j;cognitives sciences;67717/1e0b7b54-0c25-4955-9c08-c01b9f7c862b;Sciences cognitives;Cognitive sciences;308335;Sciences cognitives;Cognitive sciences;;;;7453;Sciences cognitives;
https://n2t.net/ark:/99152/r51kp5tw-h;99152/r51kp5tw-h;de repetition salle;67717/T990-1814;Salle de répétition;Rehearsal hall;60900;Salle de répétition;Rehearsal hall;;;;7443;Salle de répétition;
https://n2t.net/ark:/99152/r5qg7gmt-d;99152/r5qg7gmt-d;art pop;67717/T990-1624;Pop art;Pop art;60933;Pop art;Pop art;377039;POP ART;;7266;Pop art;
https://n2t.net/ark:/99152/r5m4v8cg-6;99152/r5m4v8cg-6;de maison retraite;67717/T990-1244;Maison de retraite;Retirement home;60484;Maison de retraite;Retirement home;;;;6859;Maison de retraite;
https://n2t.net/ark:/99152/r5v6cm3q-s;99152/r5v6cm3q-s;071 et politique pouvoirs publics;67717/T990-2148;071 Politique et pouvoirs publics;;415577;071 Politique et pouvoirs publics;;;;;3070;071 Politique et pouvoirs publics;
https://n2t.net/ark:/99152/r5rbvl2m-5;99152/r5rbvl2m-5;histoire;67717/T990-1054;Histoire;History;59192;Histoire;History;376601;HISTOIRE;;3642;Histoire;
https://n2t.net/ark:/99152/r5kkxn3q-2;99152/r5kkxn3q-2;regulateur trace;67717/T990-1986;Tracé régulateur;Regulating plan;59520;Tracé régulateur;Regulating plan;377322;TRACE REGULATEUR;;4751;Tracé régulateur;
https://n2t.net/ark:/99152/r5l3pgk4-s;99152/r5l3pgk4-s;naturel risque;67717/T990-1796;Risque naturel;Natural hazard;60015;Risque naturel;Natural hazard;;;;4936;Risque naturel;
https://n2t.net/ark:/99152/r5pg9g2v-x;99152/r5pg9g2v-x;duplex;67717/T990-742;Duplex;Duplex;60004;Duplex;Duplex;376236;DUPLEX;;6249;Duplex;
https://n2t.net/ark:/99152/r5lgx3gm-8;99152/r5lgx3gm-8;communication;67717/T990-552;Communication;Communication;59417;Communication;Communication;376094;COMMUNICATION;;5046;Communication;
https://n2t.net/ark:/99152/r5mgt31x-7;99152/r5mgt31x-7;beton de resine;67717/T990-362;Béton de résine;Resin concrete;60011;Béton de résine;Resin concrete;375933;BETON DE RESINE;;5723;Béton de résine;
https://n2t.net/ark:/99152/r5xfn6mn-r;99152/r5xfn6mn-r;liege;67717/T990-1207;Liège;Cork;60557;Liège;Cork;376713;LIEGE;;3938;Liège;
https://n2t.net/ark:/99152/r5vlt7rb-4;99152/r5vlt7rb-4;grande ville;67717/T990-1017;Grande ville;Big city;59549;Grande ville;Big city;;;;4681;Grande ville;
https://n2t.net/ark:/99152/r5n6fm9f-0;99152/r5n6fm9f-0;crue terre;67717/T990-1949;Terre crue;Earthen;60624;Terre crue;Earthen;;;;3388;Terre crue;
https://n2t.net/ark:/99152/r52qjpnh-8;99152/r52qjpnh-8;renaissance;67717/T990-1759;Renaissance;Renaissance;59219;Renaissance;Renaissance;377140;RENAISSANCE;;3815;Renaissance;
https://n2t.net/ark:/99152/r5k8fvgk-0;99152/r5k8fvgk-0;en plan u;67717/T990-1569;Plan en U;U-shaped plan;60579;Plan en U;U-shaped plan;376997;PLAN EN U;;4129;Plan en U;
https://n2t.net/ark:/99152/r5mfmtxn-d;99152/r5mfmtxn-d;de moyen transport;67717/T990-1379;Moyen de transport;Means of transport;60943;Moyen de transport;Means of transport;;;;4560;Moyen de transport;
https://n2t.net/ark:/99152/r5pjsp23-w;99152/r5pjsp23-w;dictionnaire;67717/T990-705;Dictionnaire;Dictionary;61015;Dictionnaire;Dictionary;376212;DICTIONNAIRE;;3550;Dictionnaire;
https://n2t.net/ark:/99152/r58kx01h-c;99152/r58kx01h-c;053 design;67717/T990-2143;053 Design;;415575;053 Design;;;;;3065;053 Design;
https://n2t.net/ark:/99152/r5ql8mjt-q;99152/r5ql8mjt-q;cite de transit;67717/T990-515;Cité de transit;Transit camp;60890;Cité de transit;Transit camp;;;;5953;Cité de transit;
https://n2t.net/ark:/99152/r59xxkhh-q;99152/r59xxkhh-q;bande batiment en;67717/T990-325;Bâtiment en bande;Row housing;59976;Bâtiment en bande;Row housing;375902;BATIMENT EN BANDE;;5677;Bâtiment en bande;
https://n2t.net/ark:/99152/r5k4t4hl-c;99152/r5k4t4hl-c;architecte bcpn;67717/T990-135;Architecte BCPN;Restoration architect;60256;Architecte BCPN;Restoration architect;375753;ARCHITECTE BCPN;;5371;Architecte BCPN;
https://n2t.net/ark:/99152/r5hp2b9n-x;99152/r5hp2b9n-x;estuaire;67717/T990-877;Estuaire;Estuary;59536;Estuaire;Estuary;;;;4409;Estuaire;
https://n2t.net/ark:/99152/r5xnfrqv-h;99152/r5xnfrqv-h;dessin;67717/T990-687;Dessin;Drawing;59505;Dessin;Drawing;376192;DESSIN;;4476;Dessin;
https://n2t.net/ark:/99152/r5tsr2qt-n;99152/r5tsr2qt-n;chemin;67717/T990-497;Chemin;Path;60954;Chemin;Path;;;;5930;Chemin;
https://n2t.net/ark:/99152/r5xt2729-v;99152/r5xt2729-v;animation urbaine;67717/T990-98;Animation urbaine;Urban cultural activities;60999;Animation urbaine;Urban cultural activities;377409;ANIMATION URBAINE;;5331;Animation urbaine;
https://n2t.net/ark:/99152/r5cfj8l5-w;99152/r5cfj8l5-w;immobiliere legislation;67717/T990-1202;Législation immobilière;Property legislation;59864;Législation immobilière;Property legislation;376707;LEGISLATION IMMOBILIERE;;6832;Législation immobilière;
https://n2t.net/ark:/99152/r5hkjqhm-g;99152/r5hkjqhm-g;de golf terrain;67717/T990-1012;Terrain de golf;Golf field;60150;Terrain de golf;Golf field;;;;6589;Golf;
https://n2t.net/ark:/99152/r5866j63-0;99152/r5866j63-0;fablab;67717/112c9d78-342b-474b-82b5-35a1987f7d1f;Fablab;Fab lab;331702;Fablab;Fab lab;;;;8077;Fablab;
https://n2t.net/ark:/99152/r5slx76d-x;99152/r5slx76d-x;de temps transport;67717/T990-1944;Temps de transport;Transport time;59625;Temps de transport;Transport time;377287;TEMPS DE TRANSPORT;;7582;Temps de transport;
https://n2t.net/ark:/99152/r5d4kx78-v;99152/r5d4kx78-v;en h plan;67717/T990-1564;Plan en H;H-shaped plan;60972;Plan en H;H-shaped plan;376994;PLAN EN H;;4123;Plan en H;
https://n2t.net/ark:/99152/r591q3pj-n;99152/r591q3pj-n;a moulin vent;67717/T990-1374;Moulin à vent;Windmill;60419;Moulin à vent;Windmill;378008;MOULIN A VENT;;6338;Moulin à vent;
https://n2t.net/ark:/99152/r5pvc238-w;99152/r5pvc238-w;kibboutz;67717/T990-1184;Kibboutz;Kibbutz;60366;Kibboutz;Kibbutz;376687;KIBBOUTZ;;6804;Kibboutz;
https://n2t.net/ark:/99152/r554l3jp-p;99152/r554l3jp-p;devis;67717/T990-700;Devis;Estimate;60610;Devis;Estimate;;;;6200;Devis;
https://n2t.net/ark:/99152/r5g4xmxl-q;99152/r5g4xmxl-q;circuit de vitesse;67717/T990-510;Circuit de vitesse;Race track;59425;Circuit de vitesse;Race track;376056;CIRCUIT DE VITESSE;;5946;Circuit de vitesse;
https://n2t.net/ark:/99152/r5x95wt2-6;99152/r5x95wt2-6;batiment dexposition;67717/T990-320;Bâtiment d'exposition;Exhibition building;59709;Bâtiment d'exposition;Exhibition building;375897;BATIMENT D'EXPOSITION;;3239;Bâtiment d'exposition;
https://n2t.net/ark:/99152/r5hfshlr-c;99152/r5hfshlr-c;arc;67717/T990-130;Arc;Arch;59501;Arc;Arch;375747;ARC;;5364;Arc;
https://n2t.net/ark:/99152/r5kftblc-g;99152/r5kftblc-g;de photographie studio;67717/T990-1907;Studio de photographie;Photography studio;60626;Studio de photographie;Photography studio;;;;7550;Studio de photographie;
https://n2t.net/ark:/99152/r59gt02k-g;99152/r59gt02k-g;architecteingenieur rapport;67717/T990-1717;Rapport architecte-ingénieur;Interaction architect-engineer;60977;Rapport architecte-ingénieur;Interaction architect-engineer;377111;RAPPORT ARCHITECTE-INGENIEUR;;7359;Rapport architecte-ingénieur;
https://n2t.net/ark:/99152/r57h193b-1;99152/r57h193b-1;desert;67717/T990-682;Désert;Desert;60074;Désert;Desert;376188;DESERT;;4422;Désert;
https://n2t.net/ark:/99152/r5mdq947-w;99152/r5mdq947-w;petrole;67717/T990-1527;Pétrole;Oil;60421;Pétrole;Oil;378054;PETROLE;;4206;Pétrole;
https://n2t.net/ark:/99152/r59q85l3-t;99152/r59q85l3-t;chauffage urbain;67717/T990-492;Chauffage urbain;District heating;60061;Chauffage urbain;District heating;376043;CHAUFFAGE URBAIN;;5920;Chauffage urbain;
https://n2t.net/ark:/99152/r5bpbx3f-k;99152/r5bpbx3f-k;enfants mobilier pour;67717/T990-1337;Mobilier pour enfants;Children's furniture;59966;Mobilier pour enfants;Children's furniture;376814;MOBILIER POUR ENFANTS;;6983;Mobilier pour enfants;
https://n2t.net/ark:/99152/r5b9kx43-m;99152/r5b9kx43-m;animal;67717/T990-93;Animal;Animal;60171;Animal;Animal;375730;ANIMAL;;3355;Animal;
https://n2t.net/ark:/99152/r5c5v42q-k;99152/r5c5v42q-k;vue;67717/T990-2101;Vue;Sight;303216;Vue;Sight;;;;7741;Vue;
https://n2t.net/ark:/99152/r5x0gpch-z;99152/r5x0gpch-z;structuralisme;67717/T990-1889;Structuralisme;Structuralism;60475;Structuralisme;Structuralism;377243;STRUCTURALISME;;3663;Structuralisme;
https://n2t.net/ark:/99152/r55sw9vk-d;99152/r55sw9vk-d;puits;67717/T990-1699;Puits;Well;60852;Puits;Well;377100;PUITS;;7333;Puits;
https://n2t.net/ark:/99152/r5n3rvnh-z;99152/r5n3rvnh-z;de entreprise publics travaux;67717/T990-835;Entreprise de travaux publics;Public works company;60250;Entreprise de travaux publics;Public works company;376310;ENTREPRISE DE TRAVAUX PUBLICS;;5041;Entreprise de travaux publics;
https://n2t.net/ark:/99152/r5q4bqt3-p;99152/r5q4bqt3-p;crypte;67717/T990-645;Crypte;Crypt;60868;Crypte;Crypt;376161;CRYPTE;;6135;Crypte;
https://n2t.net/ark:/99152/r5rbj4pr-n;99152/r5rbj4pr-n;neuve ville;67717/T990-2083;Ville neuve;;60239;Ville neuve;;376441;VILLE NEUVE;;5647;Ville neuve;
https://n2t.net/ark:/99152/r5g3s0rn-w;99152/r5g3s0rn-w;centre de rencontre;67717/T990-455;Centre de rencontre;Meeting center;60034;Centre de rencontre;Meeting center;376008;CENTRE DE RENCONTRE;;5697;Centre de rencontre;
https://n2t.net/ark:/99152/r51g7qvx-j;99152/r51g7qvx-j;astronomie;67717/T990-265;Astronomie;Astronomy;60263;Astronomie;Astronomy;377429;ASTRONOMIE;;4260;Astronomie;
https://n2t.net/ark:/99152/r58f8cq4-v;99152/r58f8cq4-v;aire de stationnement;67717/T990-56;Aire de stationnement;Parking area;60949;Aire de stationnement;Parking area;;;;3861;Aire de stationnement;
https://n2t.net/ark:/99152/r5tpvtjt-t;99152/r5tpvtjt-t;structurepont;67717/T990-1902;Structure-pont;Bridge structure;59668;Structure-pont;Bridge structure;377251;STRUCTURE-PONT;;3313;Structure-pont;
https://n2t.net/ark:/99152/r5wlwc7k-m;99152/r5wlwc7k-m;personne seule;67717/T990-1522;Personne seule;Single person;61010;Personne seule;Single person;;;;6861;Personne seule;
https://n2t.net/ark:/99152/r5r0ctbw-8;99152/r5r0ctbw-8;mobilier;67717/T990-1332;Mobilier;Furniture;59260;Mobilier;Furniture;376811;MOBILIER;;3200;Mobilier;
https://n2t.net/ark:/99152/r5h0p286-d;99152/r5h0p286-d;interview;67717/T990-1142;Interview;Interview;59562;Interview;Interview;376664;INTERVIEW;;5000;Interview;
https://n2t.net/ark:/99152/r5l0f18m-k;99152/r5l0f18m-k;contrat de travail;67717/T990-608;Contrat de travail;Employment contract;60672;Contrat de travail;Employment contract;;;;6093;Contrat de travail;
https://n2t.net/ark:/99152/r5mlk214-k;99152/r5mlk214-k;utopie;67717/T990-2046;Utopie;Utopia;59518;Utopie;Utopia;376472;UTOPIE;;3905;Utopie;
https://n2t.net/ark:/99152/r5gsdhtj-m;99152/r5gsdhtj-m;art gothique;67717/T990-228;Art gothique;Gothic art;60451;Art gothique;Gothic art;378047;ART GOTHIQUE;;3618;Art gothique;
https://n2t.net/ark:/99152/r5plshxm-k;99152/r5plshxm-k;accessibilite;67717/T990-19;Accessibilité;Accessibility;60149;Accessibilité;Accessibility;375673;ACCESSIBILITE;;3334;Accessibilité;
https://n2t.net/ark:/99152/r5s5whvs-z;99152/r5s5whvs-z;stationservice;67717/T990-1884;Station-service;Service station;60230;Station-service;Service station;377236;STATION-SERVICE;;7516;Station-service;
https://n2t.net/ark:/99152/r5n9wk9g-j;99152/r5n9wk9g-j;psychiatrie;67717/T990-1694;Psychiatrie;Psychiatry;59305;Psychiatrie;Psychiatry;377096;PSYCHIATRIE;;4253;Psychiatrie;
